number,x,y,z
1019,-200,-620,0
1020,-200,-600,0
1021,-200,-580,0
1022,-200,-560,0
1023,-200,-540,0
1024,-200,-520,0
1025,-200,-500,0
1026,-200,-480,0
1027,-200,-460,0
1028,-200,-440,0
1029,-200,-420,0
1030,-200,-400,0
1031,-200,-380,0
1032,-200,-360,0
1033,-200,-340,0
1034,-200,-320,0
1035,-200,-300,0
1036,-200,-280,0
1037,-200,-260,0
1038,-200,-240,0
1039,-200,-220,0
1040,-200,-200,0
1041,-200,-180,0
1042,-200,-160,0
1043,-200,-140,0
1044,-200,-120,0
1045,-200,-100,0
1046,-200,-80,0
1047,-200,-60,0
1048,-200,-40,0
1049,-200,-20,0
1050,-200,0,0
1051,-200,20,0
1052,-200,40,0
1053,-200,60,0
1054,-200,80,0
1055,-200,100,0
1056,-200,120,0
1057,-200,140,0
1058,-200,160,0
1059,-200,180,0
1060,-200,200,0
1061,-200,220,0
1062,-200,240,0
1063,-200,260,0
1064,-200,280,0
1065,-200,300,0
1066,-200,320,0
1067,-200,340,0
1068,-200,360,0
1069,-200,380,0
1070,-200,400,0
1071,-200,420,0
1072,-200,440,0
1073,-200,460,0
1074,-200,480,0
1075,-200,500,0
1076,-200,520,0
1077,-200,540,0
1078,-200,560,0
1079,-200,580,0
1080,-200,600,0
1081,-200,620,0
1082,-200,640,0
1083,-200,660,0
1084,-200,680,0
1085,-200,700,0
1086,-200,720,0
1087,-200,740,0
1088,-200,760,0
1089,-200,780,0
1090,-200,800,0
1091,-200,820,0
1092,-200,840,0
1093,-200,860,0
1094,-200,880,0
1095,-200,900,0
1096,-200,920,0
1097,-200,940,0
1098,-200,960,0
1099,-200,980,0
1100,-180,-1000,0
1101,-180,-980,0
1102,-180,-960,0
1103,-180,-940,0
1104,-180,-920,0
1105,-180,-900,0
1106,-180,-880,0
1107,-180,-860,0
1108,-180,-840,0
1109,-180,-820,0
1110,-180,-800,0
1111,-180,-780,0
1112,-180,-760,0
1113,-180,-740,0
1114,-180,-720,0
1115,-180,-700,0
1116,-180,-680,0
1117,-180,-660,0
1118,-180,-640,0
1119,-180,-620,0
1120,-180,-600,0
1121,-180,-580,0
1122,-180,-560,0
1123,-180,-540,0
1124,-180,-520,0
1125,-180,-500,0
1126,-180,-480,0
1127,-180,-460,0
1128,-180,-440,0
1129,-180,-420,0
1130,-180,-400,0
1131,-180,-380,0
1132,-180,-360,0
1133,-180,-340,0
1134,-180,-320,0
1135,-180,-300,0
1136,-180,-280,0
1137,-180,-260,0
1138,-180,-240,0
1139,-180,-220,0
1140,-180,-200,0
1141,-180,-180,0
1142,-180,-160,0
1143,-180,-140,0
1144,-180,-120,0
1145,-180,-100,0
1146,-180,-80,0
1147,-180,-60,0
1148,-180,-40,0
1149,-180,-20,0
1150,-180,0,0
1151,-180,20,0
1152,-180,40,0
1153,-180,60,0
1154,-180,80,0
1155,-180,100,0
1156,-180,120,0
1157,-180,140,0
1158,-180,160,0
1159,-180,180,0
1160,-180,200,0
1161,-180,220,0
1162,-180,240,0
1163,-180,260,0
1164,-180,280,0
1165,-180,300,0
1166,-180,320,0
1167,-180,340,0
1168,-180,360,0
1169,-180,380,0
1170,-180,400,0
1171,-180,420,0
1172,-180,440,0
1173,-180,460,0
1174,-180,480,0
1175,-180,500,0
1176,-180,520,0
1177,-180,540,0
1178,-180,560,0
1179,-180,580,0
1180,-180,600,0
1181,-180,620,0
1182,-180,640,0
1183,-180,660,0
1184,-180,680,0
1185,-180,700,0
1186,-180,720,0
1187,-180,740,0
1188,-180,760,0
1189,-180,780,0
1190,-180,800,0
1191,-180,820,0
1192,-180,840,0
1193,-180,860,0
1194,-180,880,0
1195,-180,900,0
1196,-180,920,0
1197,-180,940,0
1198,-180,960,0
1199,-180,980,0
1200,-160,-1000,0
1201,-160,-980,0
1202,-160,-960,0
1203,-160,-940,0
1204,-160,-920,0
1205,-160,-900,0
1206,-160,-880,0
1207,-160,-860,0
1208,-160,-840,0
1209,-160,-820,0
1210,-160,-800,0
1211,-160,-780,0
1212,-160,-760,0
1213,-160,-740,0
1214,-160,-720,0
1215,-160,-700,0
1216,-160,-680,0
1217,-160,-660,0
1218,-160,-640,0
1219,-160,-620,0
1220,-160,-600,0
1221,-160,-580,0
1222,-160,-560,0
1223,-160,-540,0
1224,-160,-520,0
1225,-160,-500,0
1226,-160,-480,0
1227,-160,-460,0
1228,-160,-440,0
1229,-160,-420,0
1230,-160,-400,0
1231,-160,-380,0
1232,-160,-360,0
1233,-160,-340,0
1234,-160,-320,0
1235,-160,-300,0
1236,-160,-280,0
1237,-160,-260,0
1238,-160,-240,0
1239,-160,-220,0
1240,-160,-200,0
1241,-160,-180,0
1242,-160,-160,0
1243,-160,-140,0
1244,-160,-120,0
1245,-160,-100,0
1246,-160,-80,0
1247,-160,-60,0
1248,-160,-40,0
1249,-160,-20,0
1250,-160,0,0
1251,-160,20,0
1252,-160,40,0
1253,-160,60,0
1254,-160,80,0
1255,-160,100,0
1256,-160,120,0
1257,-160,140,0
1258,-160,160,0
1259,-160,180,0
1260,-160,200,0
1261,-160,220,0
1262,-160,240,0
1263,-160,260,0
1264,-160,280,0
1265,-160,300,0
1266,-160,320,0
1267,-160,340,0
1268,-160,360,0
1269,-160,380,0
1270,-160,400,0
1271,-160,420,0
1272,-160,440,0
1273,-160,460,0
1274,-160,480,0
1275,-160,500,0
1276,-160,520,0
1277,-160,540,0
1278,-160,560,0
1279,-160,580,0
1280,-160,600,0
1281,-160,620,0
